model_family,model,n_features,cv_r2_learn,cv_r2_ci_low,cv_r2_ci_high,r2_heldout_val
elastic net,M0 rules + timing,19,0.07980160638589995,0.028811560328237427,0.12025940304765839,-0.012606832328019069
elastic net,M1 + chat channel,20,0.17407696848806908,0.10688377474585578,0.23366811282491307,-0.010823846410547455
elastic net,M2 + deliberation (PRE),173,0.1725393761822106,0.10912906325923134,0.23235159269834801,-0.00021291604088280458
elastic net,M3 + reaction (POST),173,0.1871068562735323,0.12427889436054901,0.24525105696969643,0.04584446786108287
elastic net,M4 + both blocks,326,0.18462980025975417,0.1177853585022204,0.24460859093765963,0.04529999697510112
elastic net,M5 + merged window,173,0.1773196369425225,0.11220622834891714,0.2426155979326851,0.01944085894788994
random forest,M0 rules + timing,19,0.08572262100530537,-0.018626249480115036,0.16665607311907463,-0.043049131951732544
random forest,M1 + chat channel,20,0.1540392911777515,0.05748693216570437,0.23804834984842796,0.029745296562759815
random forest,M2 + deliberation (PRE),173,0.1978846478644033,0.112530199010225,0.27187027300990313,0.035409879697578805
random forest,M3 + reaction (POST),173,0.1697307787464536,0.06975640648105126,0.253402345883709,0.0441809100506112
random forest,M4 + both blocks,326,0.18214336967623745,0.08203078654482943,0.26296504274822424,0.047716838524118566
random forest,M5 + merged window,173,0.1660283460280355,0.0647997956595175,0.2509424337569951,0.039552816637041466
