model_family,feature_family,n_features,drop_in_cv_r2,drop_in_heldout_r2
elastic net,Sentiment & emotion,45,0.0006705967506908106,-0.023675361827322328
elastic net,Semantic dynamics,30,0.0005334996365775613,-0.005678333130267221
elastic net,Participation & timing,6,0.0002889285123823804,-0.019747523327171
elastic net,Volume & form,15,-0.0001843466880278033,0.000122379001618933
elastic net,Receptiveness,10,-0.0002224667169304917,-4.169361541173089e-05
elastic net,Lexical (LIWC),62,-0.005109418245336728,-0.023842783438032922
random forest,Semantic dynamics,30,0.03182237404621158,0.002244261080899368
random forest,Volume & form,15,0.01954038592909102,-0.003333918631508448
random forest,Sentiment & emotion,45,0.018939570449992726,0.0007201054755580083
random forest,Lexical (LIWC),62,0.010427313978096153,-0.0022850419958461154
random forest,Receptiveness,10,0.0025904931751140614,0.003051231668398491
random forest,Participation & timing,6,0.0015979437764607196,0.004432808787461884
