word,count
in,101
time,34
put,30
on,28
go,23
out,20
next,19
always,19
going,13
right,12
now,12
come,12
way,10
full,9
up,9
then,8
point,7
putting,6
at,6
today,5
still,5
again,5
first,4
last,4
down,4
coming,3
together,3
back,3
run,2
after,2
past,2
end,2
biggest,2
increase,2
change,2
highest,2
both,2
fully,2
day,2
high,2
place,2
long,2
when,2
bigger,2
big,2
off,2
before,2
shape,1
rise,1
came,1
grow,1
fill,1
system,1
starting,1
common,1
ends,1
delivering,1
finish,1
finally,1
slow,1
where,1
months,1
anymore,1
little,1
times,1
removes,1
future,1
yet,1
min,1
begin,1
low,1
new,1
went,1
tomorrow,1
moment,1
currently,1
gone,1
fast,1
afternoon,1
start,1
entered,1
throw,1
usually,1
puts,1
started,1
return,1
while,1
