split,block,stage,game_rounds,rounds_with_talk,pct_silent,median_messages,mean_messages,median_words,mean_words,median_speakers,total_messages
learn,pre,opening,502,257,48.80478087649402,3.0,4.700389105058366,13.0,16.731517509727627,3.0,1208.0
learn,pre,middle,1868,715,61.723768736616705,2.0,2.9958041958041957,10.0,14.695104895104896,2.0,2142.0
learn,pre,endgame,543,190,65.00920810313076,2.0,3.0210526315789474,9.5,13.047368421052632,2.0,574.0
learn,pre,all,2913,1162,60.10985238585651,2.0,3.3769363166953528,11.0,14.876075731497417,2.0,3924.0
learn,post,opening,502,204,59.362549800796806,5.0,6.122549019607843,21.0,24.754901960784313,4.0,1249.0
learn,post,middle,1868,1023,45.235546038543895,4.0,5.9530791788856305,21.0,28.3049853372434,3.0,6090.0
learn,post,endgame,543,260,52.117863720073665,3.5,5.1461538461538465,16.5,25.015384615384615,3.0,1338.0
learn,post,all,2913,1487,48.952969447305186,4.0,5.835238735709482,20.0,27.242770679219905,3.0,8677.0
val,pre,opening,825,341,58.666666666666664,2.0,3.278592375366569,9.0,11.991202346041055,2.0,1118.0
val,pre,middle,2520,817,67.57936507936509,1.0,2.2325581395348837,8.0,11.320685434516523,1.0,1824.0
val,pre,endgame,825,224,72.84848484848484,2.0,2.424107142857143,7.0,10.825892857142858,1.0,543.0
val,pre,all,4170,1382,66.85851318944844,2.0,2.5217076700434156,8.0,11.405933429811867,2.0,3485.0
val,post,opening,825,260,68.48484848484848,3.0,4.757692307692308,12.5,20.18846153846154,3.0,1237.0
val,post,middle,2520,1280,49.20634920634921,3.0,4.3265625,14.0,20.9421875,2.0,5538.0
val,post,endgame,825,364,55.87878787878788,3.0,3.7774725274725274,11.0,18.164835164835164,2.0,1375.0
val,post,all,4170,1904,54.34052757793765,3.0,4.28046218487395,13.0,20.30829831932773,2.0,8150.0
