stage,block,model_family,n_game_rounds,delta_cv_r2_content,ci_low,ci_high,delta_heldout_r2_content
early,pre,elastic net,1570,-0.003974980217354762,-0.007982050404476432,-0.00021702738318636066,-0.006316601108695696
early,post,elastic net,1570,-0.010656369505847363,-0.040245713128016544,0.005771879963591184,-0.0037678616657738084
early,pre,random forest,1570,0.03318983827396549,0.02134012472111248,0.04375820951077997,0.02226873861758283
early,post,random forest,1570,0.03879079184221479,0.014027965335267368,0.058942882349842074,0.0363477755485585
middle,pre,elastic net,1803,-0.0011317830854966626,-0.0023618283415623637,0.00019579078573939013,-0.005972759087898516
middle,post,elastic net,1803,-0.0076437680771909156,-0.021994418713162853,-0.00038963405454902266,0.0012550714949058905
middle,pre,random forest,1803,0.01703469618640141,0.006403841142434544,0.026117170009012338,0.016621209924377878
middle,post,random forest,1803,0.01405417586183566,-0.010610135999472872,0.03139883220084313,0.024486311680606887
late,pre,elastic net,2035,0.0006155879250289154,-0.00014418817313067433,0.001572180839374203,-0.00017808721657719406
late,post,elastic net,2035,-0.012394343444109723,-0.03370220310949449,-3.617664579235757e-05,0.0001149418773306321
late,pre,random forest,2035,0.005709363368760156,-0.00717083512504324,0.014736167749520747,0.01690001059423485
late,post,random forest,2035,0.0039263599691503615,-0.01564719763013102,0.01702980249626936,0.014537185999542346
