model_family,step,delta_cv_r2,ci_low,ci_high,delta_r2_heldout
elastic net,channel,0.1026998667298944,0.043560881106236696,0.1581289607802127,0.009766186069363525
elastic net,momentum,0.5810584562924956,0.5084568231522559,0.6546369877923499,0.6567691577140627
elastic net,deliberation (PRE),-0.00043835431021288507,-0.0013027708076429139,0.0004024592439309887,-0.0012942973914316092
elastic net,reaction (POST),-0.000541198316104996,-0.0012520391728328222,0.0001969192220606566,0.001623131800910782
elastic net,both talk blocks,-0.0005678991745540207,-0.001492503600810971,0.00033347975505179363,-0.0010229688556370187
random forest,channel,0.06941380927963303,0.03329444012517058,0.10780637452373684,0.0783998928465024
random forest,momentum,0.4668552850496257,0.41527232281163706,0.5229949945803756,0.5509337193889358
random forest,deliberation (PRE),0.005218383934969872,-0.0028381937042935013,0.011202974739804491,0.0077971051530624225
random forest,reaction (POST),0.002484519388608386,-0.016612734248699607,0.014276598868140393,0.015373916726201142
random forest,both talk blocks,0.002510863166785171,-0.016307973781779256,0.01536968098950939,0.011165038673829564
