binning,bin,block,sample,block_meaning,model_family,controls,n_rounds,n_games,n_rounds_heldout,n_games_heldout,delta_cv_r2,ci_low,ci_high,delta_heldout_r2,ci_low_heldout,ci_high_heldout
all,all rounds,pre,talkers,"this round, before the outcome",elastic net,rules+timing,957,128,1050,191,-0.0042924938995010375,-0.030369375180091994,0.052510603765710206,0.002838826104861747,-0.014880301497769038,0.017791487250670316
all,all rounds,post,talkers,"last round, after the outcome",elastic net,rules+timing,957,128,1050,191,-0.031223554534791087,-0.07548682886474914,0.043253224349779226,0.004581285609835062,-0.02357942561766126,0.03146575866067086
all,all rounds,window,talkers,the whole gap between the two: post + pre,elastic net,rules+timing,957,128,1050,191,-0.03382199025270294,-0.07947490816692114,0.07319381813174432,0.024831640551602696,-0.0019965432280680956,0.05036720436893042
all,all rounds,cumulative,talkers,every message so far this game,elastic net,rules+timing,957,128,1050,191,-0.12723425949008205,-0.24585819411216264,0.13823668488864832,0.07256146156183241,-0.061682771861519284,0.24193921886559827
all,all rounds,pre,talkers,"this round, before the outcome",random forest,rules+timing,957,128,1050,191,0.008352361536642094,-0.03207925144010117,0.024003124852511673,0.0009899023524788664,-0.005203735308576596,0.006935854960911416
all,all rounds,post,talkers,"last round, after the outcome",random forest,rules+timing,957,128,1050,191,0.004458400664733686,-0.014418415258140015,0.023729829789549853,0.010322077997228396,0.0016458858097860602,0.018367171084960485
all,all rounds,window,talkers,the whole gap between the two: post + pre,random forest,rules+timing,957,128,1050,191,0.005499585296479648,-0.016595088010429672,0.04865095562871189,0.012302869792769067,0.005424295278893674,0.01899662995994241
all,all rounds,cumulative,talkers,every message so far this game,random forest,rules+timing,957,128,1050,191,-0.019298174331153772,-0.12086146067338567,0.18884219996932042,0.029557605391788977,-0.016421806703251964,0.08365391087940283
all,all rounds,pre,talkers,"this round, before the outcome",elastic net,rules+timing+momentum,957,128,1050,191,-0.003030243473409411,-0.009395315220027423,0.004797610202792591,-0.0011186044820181706,-0.007208676228230538,0.004649945303488417
all,all rounds,post,talkers,"last round, after the outcome",elastic net,rules+timing+momentum,957,128,1050,191,-0.004493678797430012,-0.011196211098560194,0.012424601623542015,0.0059559987437853845,0.0005579801635029108,0.01196041261422593
all,all rounds,window,talkers,the whole gap between the two: post + pre,elastic net,rules+timing+momentum,957,128,1050,191,-0.007501789071525766,-0.013854712115315884,0.009723798795041053,0.0073700236630585,0.0025105317141962845,0.012953833099849064
all,all rounds,cumulative,talkers,every message so far this game,elastic net,rules+timing+momentum,957,128,1050,191,-0.01465305485749191,-0.025064074851980627,0.00831267700009652,0.0028659586332280274,-0.007443209979296275,0.015922336250279872
all,all rounds,pre,talkers,"this round, before the outcome",random forest,rules+timing+momentum,957,128,1050,191,0.00446874055088764,-0.0033802349473471298,0.024099060921265708,0.003445339624852939,-0.0024805584412823517,0.009410015074902354
all,all rounds,post,talkers,"last round, after the outcome",random forest,rules+timing+momentum,957,128,1050,191,-0.0002046571154022958,-0.017565093720176415,0.042090806419385916,0.00912798679943927,0.0017644003776516176,0.016174036507478198
all,all rounds,window,talkers,the whole gap between the two: post + pre,random forest,rules+timing+momentum,957,128,1050,191,0.007197542444166594,-0.011105932393980108,0.059218351293415634,0.006946505228082378,-0.00011972661904244285,0.013312715574353784
all,all rounds,cumulative,talkers,every message so far this game,random forest,rules+timing+momentum,957,128,1050,191,0.018779453862279194,-0.04435876442689679,0.22967370180515995,0.019577292115542266,0.0029245479655080507,0.037391423532887234
stage,opening,pre,talkers,"this round, before the outcome",elastic net,rules+timing,151,93,169,123,0.007131702988028676,-0.06395344552477165,0.08852177028938231,0.02260153962508049,-0.07094648998614102,0.0896870643245192
stage,opening,post,talkers,"last round, after the outcome",elastic net,rules+timing,151,93,169,123,0.06353493130323484,-0.03586582235579035,0.15820660693785943,0.053568970000719696,-0.0004890144778041838,0.09833024716582324
stage,opening,window,talkers,the whole gap between the two: post + pre,elastic net,rules+timing,151,93,169,123,0.06569714344995892,-0.055676968966707874,0.18550747962443231,0.008529640167760588,-0.04235389555726348,0.048106345835073894
stage,opening,cumulative,talkers,every message so far this game,elastic net,rules+timing,151,93,169,123,0.17692741295596537,0.035739751139997965,0.3046266844474646,0.1202155148574352,-0.042804797543770604,0.28455360158087895
stage,opening,pre,talkers,"this round, before the outcome",random forest,rules+timing,151,93,169,123,-0.020103322804325696,-0.05558556322766456,0.013135340206500664,-0.011357290056817515,-0.03515721920801704,0.020372723195155065
stage,opening,post,talkers,"last round, after the outcome",random forest,rules+timing,151,93,169,123,0.07596284633310857,-0.026183137482997085,0.16739681527693254,0.07119414192987727,0.0015109671475682905,0.1361796378724597
stage,opening,window,talkers,the whole gap between the two: post + pre,random forest,rules+timing,151,93,169,123,0.033309072667927486,-0.048643241620401456,0.10207535609829171,0.0391563948802528,-0.011133355776795186,0.09813580733322107
stage,opening,cumulative,talkers,every message so far this game,random forest,rules+timing,151,93,169,123,0.08213328845154344,-0.022841629125100203,0.18262579216320454,0.08984428774584008,0.03145185800102862,0.15445658593723527
stage,opening,pre,talkers,"this round, before the outcome",elastic net,rules+timing+momentum,151,93,169,123,0.00020726856917763214,-0.038512945318358374,0.039140137514713146,-0.006320348197190073,-0.04838254439041384,0.03003001275391499
stage,opening,post,talkers,"last round, after the outcome",elastic net,rules+timing+momentum,151,93,169,123,-0.01044623516072063,-0.0664633900109904,0.04300402524182071,0.027581310450294216,-0.0018091317323838782,0.062458215882169224
stage,opening,window,talkers,the whole gap between the two: post + pre,elastic net,rules+timing+momentum,151,93,169,123,0.011570113282910133,-0.03775737851556989,0.0613111472567871,-0.023633879446536943,-0.04738994496622214,0.013493846297560418
stage,opening,cumulative,talkers,every message so far this game,elastic net,rules+timing+momentum,151,93,169,123,0.04461235123627916,-0.011139259450731642,0.09629639298111646,-0.004153217100205331,-0.06318511161880097,0.05624375566315691
stage,opening,pre,talkers,"this round, before the outcome",random forest,rules+timing+momentum,151,93,169,123,-0.004068284616110529,-0.027062124085307036,0.020510393593754173,0.0025340590848229594,-0.014950859397973706,0.022262648973949264
stage,opening,post,talkers,"last round, after the outcome",random forest,rules+timing+momentum,151,93,169,123,0.03777453547772269,-0.049251649838220085,0.11222400121711901,0.058944027478701644,0.016981760016003263,0.10031868931783966
stage,opening,window,talkers,the whole gap between the two: post + pre,random forest,rules+timing+momentum,151,93,169,123,0.01830919634907935,-0.044442828726611414,0.07800354170735799,0.024267630519202887,-0.007562781341167041,0.061416676926912904
stage,opening,cumulative,talkers,every message so far this game,random forest,rules+timing+momentum,151,93,169,123,0.054132665393927915,-0.022890219832703007,0.12222768438633203,0.056353119858445044,0.015984736296913497,0.09808949876025164
stage,middle,pre,talkers,"this round, before the outcome",elastic net,rules+timing,647,103,704,151,0.005191728282538666,-0.052028837722523626,0.07711620196889561,0.009480415836822464,-0.01478113837504246,0.03259697614706398
stage,middle,post,talkers,"last round, after the outcome",elastic net,rules+timing,647,103,704,151,-0.02017259291311424,-0.09789127590492702,0.08303155634763172,0.01449398451815087,-0.03634724825593348,0.06120501667966324
stage,middle,window,talkers,the whole gap between the two: post + pre,elastic net,rules+timing,647,103,704,151,-0.01778410913675743,-0.0783700924690922,0.08562234442532529,0.05662894263187579,0.01449696588523992,0.10892956208447827
stage,middle,cumulative,talkers,every message so far this game,elastic net,rules+timing,647,103,704,151,-0.011825865314874173,-0.16544763774659654,0.4347384427027811,0.12578192164511837,-0.04066032096599882,0.3453060414267604
stage,middle,pre,talkers,"this round, before the outcome",random forest,rules+timing,647,103,704,151,-0.0030162623566458713,-0.026701757572974678,0.006344921268157266,0.03490446112937129,-0.019572132799197152,0.08311622307132104
stage,middle,post,talkers,"last round, after the outcome",random forest,rules+timing,647,103,704,151,-0.013854731553353927,-0.06728301596477913,0.02477154638182575,0.0405124991523278,-0.012593614670775166,0.09055858859821016
stage,middle,window,talkers,the whole gap between the two: post + pre,random forest,rules+timing,647,103,704,151,-0.009573140421163417,-0.07867958359854943,0.009136300133848094,0.043671036849948,-0.01054052049268971,0.09244300808863078
stage,middle,cumulative,talkers,every message so far this game,random forest,rules+timing,647,103,704,151,-0.09024821336318967,-0.16130174757784488,0.08780408890364469,0.021399939405413737,-0.010152208060756332,0.052291611428173596
stage,middle,pre,talkers,"this round, before the outcome",elastic net,rules+timing+momentum,647,103,704,151,0.0018778715139331492,-0.003632390937315383,0.011169451376117768,-0.0016951988621652925,-0.00869321456291497,0.004747714093730057
stage,middle,post,talkers,"last round, after the outcome",elastic net,rules+timing+momentum,647,103,704,151,0.0033934057420953456,-0.00185086669759639,0.021548719022509672,0.0006798595950844311,-0.0031874265413540212,0.00417462649998288
stage,middle,window,talkers,the whole gap between the two: post + pre,elastic net,rules+timing+momentum,647,103,704,151,0.005707100144831223,0.0010791123716954343,0.020462917090929168,-0.0028404902342974436,-0.008619812404626804,0.0023212897124435497
stage,middle,cumulative,talkers,every message so far this game,elastic net,rules+timing+momentum,647,103,704,151,-0.0024439774582637463,-0.011893070854103002,0.019180251389051127,0.006516257942017156,-0.001074547275301299,0.015839225016050174
stage,middle,pre,talkers,"this round, before the outcome",random forest,rules+timing+momentum,647,103,704,151,0.0251699381873125,0.013713475414965958,0.05752767392543966,0.027057512462516753,0.018512640594805146,0.03551523450189201
stage,middle,post,talkers,"last round, after the outcome",random forest,rules+timing+momentum,647,103,704,151,0.013238002368266888,-0.0014005172322213543,0.06326200390498427,0.02929382605491826,0.020125209278470113,0.03861259729846723
stage,middle,window,talkers,the whole gap between the two: post + pre,random forest,rules+timing+momentum,647,103,704,151,0.008144317069466833,-0.0049186331177596965,0.05110704266553966,0.028058550574718955,0.018839613065036252,0.03668684094145377
stage,middle,cumulative,talkers,every message so far this game,random forest,rules+timing+momentum,647,103,704,151,-0.008361119589559873,-0.08810343929763055,0.2736853557478636,0.030375662776933043,-0.00023748918294311247,0.05693276495435287
stage,endgame,pre,talkers,"this round, before the outcome",elastic net,rules+timing,159,84,177,113,-0.11106315870501282,-0.25284631542698954,-0.03593140346794471,0.04134850372930954,-0.0335213034989128,0.1360617696235654
stage,endgame,post,talkers,"last round, after the outcome",elastic net,rules+timing,159,84,177,113,-0.11949048209484148,-0.2715653245471775,-0.04813712060043669,0.0794094997508139,-0.012962576993251335,0.23024936565659976
stage,endgame,window,talkers,the whole gap between the two: post + pre,elastic net,rules+timing,159,84,177,113,-0.13209805197809832,-0.3056809104442804,-0.016079135130572235,0.08158449588253136,-0.1157667406295858,0.37827042767495606
stage,endgame,cumulative,talkers,every message so far this game,elastic net,rules+timing,159,84,177,113,-0.13459569281039618,-0.33829369873748205,0.007257966508894514,-0.0721174385619523,-0.2900432191304066,0.24530127260926685
stage,endgame,pre,talkers,"this round, before the outcome",random forest,rules+timing,159,84,177,113,-0.034685132180798606,-0.07413246889522186,0.008181226182086809,0.0013057606278317202,-0.03407895332197779,0.03933064502810734
stage,endgame,post,talkers,"last round, after the outcome",random forest,rules+timing,159,84,177,113,-0.0035898143126458226,-0.056881169339578715,0.03596138748284384,0.021475065192056553,-0.029437646249343728,0.0976658959084861
stage,endgame,window,talkers,the whole gap between the two: post + pre,random forest,rules+timing,159,84,177,113,-0.034292460697513905,-0.10245657351838203,0.0004732390106379245,0.021688302588079855,-0.03212720873259342,0.08435376991156034
stage,endgame,cumulative,talkers,every message so far this game,random forest,rules+timing,159,84,177,113,-0.008432562879440386,-0.12239229410517594,0.1154937532350633,-0.09929594543859255,-0.2255769063500874,0.0318240626825569
stage,endgame,pre,talkers,"this round, before the outcome",elastic net,rules+timing+momentum,159,84,177,113,-0.026590181867335527,-0.06286116371180549,0.0038855453022507867,0.032162700354279705,-0.006865841519799442,0.08182984430751268
stage,endgame,post,talkers,"last round, after the outcome",elastic net,rules+timing+momentum,159,84,177,113,-0.018836577778153618,-0.04967096956620512,0.007325636856956645,0.02943468071903299,0.00809362286874037,0.06277042362316698
stage,endgame,window,talkers,the whole gap between the two: post + pre,elastic net,rules+timing+momentum,159,84,177,113,-0.025425229982529274,-0.05872486494140066,0.014782451872779264,0.04326507940916502,0.017254774820808567,0.08528633991519594
stage,endgame,cumulative,talkers,every message so far this game,elastic net,rules+timing+momentum,159,84,177,113,-0.036244809393364386,-0.06253621824024626,0.00909860488750777,0.047546018760272424,0.009415087836111695,0.11061270325473409
stage,endgame,pre,talkers,"this round, before the outcome",random forest,rules+timing+momentum,159,84,177,113,0.004319690980083224,-0.005583464489986534,0.026611640555919643,0.01372279874864879,-0.003483440211068986,0.03658565252228387
