binning,bin,sample,block_a,block_b,nested,model_family,controls,n_rounds,n_games,n_rounds_heldout,n_games_heldout,diff_cv_r2,ci_low,ci_high,diff_heldout_r2,ci_low_heldout,ci_high_heldout
all,all rounds,talkers,pre,post,False,elastic net,rules+timing,957,128,1050,191,0.02693106063529005,-0.02453293189212979,0.07282443164632225,-0.001742459504973315,-0.027882474156781915,0.026612652124626355
all,all rounds,talkers,pre,window,True,elastic net,rules+timing,957,128,1050,191,0.0295294963532019,-0.04503033365583188,0.06648026573791183,-0.02199281444674095,-0.047089791257113704,0.003795057868235086
all,all rounds,talkers,pre,cumulative,True,elastic net,rules+timing,957,128,1050,191,0.12294176559058101,-0.09658693017643571,0.23382416773460304,-0.06972263545697066,-0.23168743798425673,0.0612158334901522
all,all rounds,talkers,post,window,True,elastic net,rules+timing,957,128,1050,191,0.002598435717911851,-0.04351600701629191,0.02251059465154442,-0.020250354941767634,-0.04588297508275114,0.005052550562891228
all,all rounds,talkers,post,cumulative,True,elastic net,rules+timing,957,128,1050,191,0.09601070495529096,-0.1337976793706058,0.20837428980882974,-0.06798017595199735,-0.22855603366762012,0.06331802047493629
all,all rounds,talkers,window,cumulative,True,elastic net,rules+timing,957,128,1050,191,0.09341226923737911,-0.09312976980122609,0.19141127426247426,-0.04772982101022971,-0.2117154626655263,0.08018726079031147
all,all rounds,talkers,pre,post,False,random forest,rules+timing,957,128,1050,191,0.0038939608719088525,-0.03009356766564649,0.020677544528701488,-0.009332175644749419,-0.016166765207988636,-0.002197458997469837
all,all rounds,talkers,pre,window,True,random forest,rules+timing,957,128,1050,191,0.002852776240162669,-0.06092849093836444,0.030153294130869084,-0.01131296744029009,-0.01857993017776427,-0.004067324036386445
all,all rounds,talkers,pre,cumulative,True,random forest,rules+timing,957,128,1050,191,0.027650535867795867,-0.21384340532700052,0.13589336195130997,-0.02856770303931,-0.08508918735478462,0.017769932184285082
all,all rounds,talkers,post,window,True,random forest,rules+timing,957,128,1050,191,-0.0010411846317461837,-0.03883423374805943,0.015542715512817665,-0.0019807917955406706,-0.007441572727559578,0.0036281942196377615
all,all rounds,talkers,post,cumulative,True,random forest,rules+timing,957,128,1050,191,0.023756574995887014,-0.19244305259801756,0.1203253206075294,-0.01923552739456058,-0.07293131529943432,0.027469142577096088
all,all rounds,talkers,window,cumulative,True,random forest,rules+timing,957,128,1050,191,0.024797759627633198,-0.17761912659280532,0.1253333258990458,-0.01725473559901991,-0.07226977521562955,0.02589482573382728
all,all rounds,talkers,pre,post,False,elastic net,rules+timing+momentum,957,128,1050,191,0.001463435324020601,-0.012227819925685104,0.00725064780198063,-0.007074603225803555,-0.014400962075040075,-0.0008649331776360041
all,all rounds,talkers,pre,window,True,elastic net,rules+timing+momentum,957,128,1050,191,0.0044715455981163554,-0.007483785302281709,0.009934820532425859,-0.008488628145076671,-0.015375246207178136,-0.002521827922501451
all,all rounds,talkers,pre,cumulative,True,elastic net,rules+timing+momentum,957,128,1050,191,0.011622811384082499,-0.0074337766849811165,0.019709222095339478,-0.003984563115246198,-0.018561264000830753,0.007526686547180558
all,all rounds,talkers,post,window,True,elastic net,rules+timing+momentum,957,128,1050,191,0.0030081102740957544,-0.00030023529325558793,0.008734732680268446,-0.0014140249192731158,-0.005828767210511626,0.0027054892874328624
all,all rounds,talkers,post,cumulative,True,elastic net,rules+timing+momentum,957,128,1050,191,0.010159376060061898,0.0001170181715003161,0.02195532728050878,0.003090040110557357,-0.009465358916731604,0.013499104448852047
all,all rounds,talkers,window,cumulative,True,elastic net,rules+timing+momentum,957,128,1050,191,0.007151265785966143,-0.003259376500926267,0.016739029663215013,0.004504065029830473,-0.00833256969363358,0.014465254573268048
all,all rounds,talkers,pre,post,False,random forest,rules+timing+momentum,957,128,1050,191,0.004673397666289936,-0.02247972347560823,0.016193200656067695,-0.0056826471745863305,-0.01397526909723371,0.0031663607803833443
all,all rounds,talkers,pre,window,True,random forest,rules+timing+momentum,957,128,1050,191,-0.0027288018932790647,-0.03822495066987175,0.009865707868890145,-0.003501165603229439,-0.01077829125853268,0.004230457659207866
all,all rounds,talkers,pre,cumulative,True,random forest,rules+timing+momentum,957,128,1050,191,-0.014310713311391554,-0.21584077923382386,0.042349282126260275,-0.016131952490689327,-0.031002677604841846,-0.0012967573418573282
all,all rounds,talkers,post,window,True,random forest,rules+timing+momentum,957,128,1050,191,-0.0074021995595690004,-0.018211998633387905,0.0036705792183709673,0.0021814815713568914,-0.0030750110939383873,0.007441940249837855
all,all rounds,talkers,post,cumulative,True,random forest,rules+timing+momentum,957,128,1050,191,-0.01898411097768149,-0.17027144262555727,0.03502408181753765,-0.010449305316102997,-0.025348451629142826,0.004320923013897701
