N,summary,baseline,min_rounds,n_features,n_games_learn,n_games_heldout,frac_at_ceiling_learn,frac_at_ceiling_heldout,outcome,metric,model_family,delta_cv_r2,ci_low,ci_high,cv_r2_base,cv_r2_full,delta_heldout_r2,ci_low_heldout,ci_high_heldout,heldout_r2_base,heldout_r2_full,delta_cv_auc,auc_ci_low,auc_ci_high,cv_auc_base,cv_auc_full,delta_heldout_auc,auc_ci_low_heldout,auc_ci_high_heldout,heldout_auc_base,heldout_auc_full
1,mean_of_rounds,no_baseline,15,151,71,108,0.4647887323943662,0.3888888888888889,contribution_rate,delta_r2,elastic net,-0.14594160961756508,-0.24491823241414362,-0.012676940267031384,0.10431682010146714,-0.04162478951609794,-0.09265711104837437,-0.20956383045807747,0.07982798531639157,0.08194387391914726,-0.010713237129227116,,,,,,,,,,
1,mean_of_rounds,no_baseline,15,151,71,108,0.4647887323943662,0.3888888888888889,maxed_out,delta_auc,elastic net,,,,,,,,,,,0.008373205741626921,-0.16058227344992063,0.1748938246833171,0.5330940988835725,0.5414673046251994,-0.051767676767676796,-0.1589194826958563,0.055309547092641825,0.6556637806637807,0.6038961038961039
1,mean_of_rounds,no_baseline,15,151,71,108,0.4647887323943662,0.3888888888888889,contribution_rate,delta_r2,random forest,-0.03607525589737348,-0.07175913970274145,0.015885062814815824,0.017693196072691042,-0.01838205982468244,0.027024030264899634,-0.032575605846564534,0.08484003338057378,0.08239742132208117,0.1094214515869808,,,,,,,,,,
1,mean_of_rounds,no_baseline,15,151,71,108,0.4647887323943662,0.3888888888888889,maxed_out,delta_auc,random forest,,,,,,,,,,,0.07496012759170656,-0.09918747580332946,0.24568596777014604,0.5151515151515151,0.5901116427432217,0.058080808080808066,-0.07086426485840555,0.1981714009756444,0.6118326118326118,0.6699134199134199
1,mean_of_rounds,early_contribution,15,151,71,108,0.4647887323943662,0.3888888888888889,contribution_rate,delta_r2,elastic net,-0.1412673496041934,-0.2426406813294868,-0.02550014155924756,0.09964256008809547,-0.04162478951609794,-0.09265711104837437,-0.20921330517080475,0.06738530288537002,0.08194387391914726,-0.010713237129227116,,,,,,,,,,
1,mean_of_rounds,early_contribution,15,151,71,108,0.4647887323943662,0.3888888888888889,maxed_out,delta_auc,elastic net,,,,,,,,,,,0.03748006379585345,-0.1298878205128205,0.19882333675096822,0.5111642743221689,0.5486443381180224,-0.05645743145743154,-0.15945842352092346,0.040511138167388196,0.658910533910534,0.6024531024531025
1,mean_of_rounds,early_contribution,15,151,71,108,0.4647887323943662,0.3888888888888889,contribution_rate,delta_r2,random forest,-0.032636457864558155,-0.06869684908289163,0.017195048082156744,0.014803352349926469,-0.017833105514631686,-0.09128010643157958,-0.14203033431131842,-0.02922853149102922,0.08015243401703676,-0.011127672414542822,,,,,,,,,,
1,mean_of_rounds,early_contribution,15,151,71,108,0.4647887323943662,0.3888888888888889,maxed_out,delta_auc,random forest,,,,,,,,,,,0.055023923444976086,-0.10973326267443921,0.22359125315391087,0.5151515151515151,0.5701754385964912,0.019300144300144262,-0.10957610810539402,0.13928488756613755,0.6488095238095238,0.6681096681096681
2,mean_of_rounds,no_baseline,15,151,75,121,0.4533333333333333,0.4132231404958678,contribution_rate,delta_r2,elastic net,-0.11840601289026609,-0.24323718864259497,0.0409421543235906,0.07134899621048929,-0.0470570166797768,-0.09869083414658175,-0.1976015821248257,0.03498488118313007,0.08935587395598166,-0.009334960190600095,,,,,,,,,,
2,mean_of_rounds,no_baseline,15,151,75,121,0.4533333333333333,0.4132231404958678,maxed_out,delta_auc,elastic net,,,,,,,,,,,-0.007532281205164915,-0.16646527636659222,0.15422222222222215,0.6101147776183643,0.6025824964131994,0.053802816901408534,-0.05324267849194151,0.16154826942192385,0.6422535211267606,0.6960563380281691
2,mean_of_rounds,no_baseline,15,151,75,121,0.4533333333333333,0.4132231404958678,contribution_rate,delta_r2,random forest,-0.04057448820985032,-0.10480956130116574,0.02471363653537688,0.042073938199009064,0.001499449989158741,0.03118632115926978,-0.021274010317020826,0.08320756620572697,0.07416668143674632,0.1053530025960161,,,,,,,,,,
2,mean_of_rounds,no_baseline,15,151,75,121,0.4533333333333333,0.4132231404958678,maxed_out,delta_auc,random forest,,,,,,,,,,,-0.1097560975609756,-0.2683075880758808,0.04103399174607138,0.5839311334289813,0.4741750358680057,-0.10563380281690138,-0.20748650234741786,-0.005575105304490788,0.6056338028169014,0.5
2,mean_of_rounds,early_contribution,15,151,75,121,0.4533333333333333,0.4132231404958678,contribution_rate,delta_r2,elastic net,-0.11885052091997472,-0.23493876058041127,0.04395196605877845,0.07179350424019793,-0.0470570166797768,-0.09869083414658175,-0.1899574836890003,0.02987465032316582,0.08935587395598166,-0.009334960190600095,,,,,,,,,,
2,mean_of_rounds,early_contribution,15,151,75,121,0.4533333333333333,0.4132231404958678,maxed_out,delta_auc,elastic net,,,,,,,,,,,-0.06886657101865146,-0.22142798957315088,0.08684892373842013,0.6556671449067433,0.5868005738880918,0.04690140845070412,-0.07380167631791001,0.15195799699504098,0.6471830985915494,0.6940845070422536
2,mean_of_rounds,early_contribution,15,151,75,121,0.4533333333333333,0.4132231404958678,contribution_rate,delta_r2,random forest,-0.022415104077586956,-0.0914920612460453,0.0451926655561763,0.03272287903750626,0.010307774959919302,0.032552328574199985,-0.022361959328546132,0.08268371646350234,0.07060211735128286,0.10315444592548284,,,,,,,,,,
2,mean_of_rounds,early_contribution,15,151,75,121,0.4533333333333333,0.4132231404958678,maxed_out,delta_auc,random forest,,,,,,,,,,,-0.16463414634146345,-0.31717784992784986,-0.015393287252370444,0.6208751793400287,0.4562410329985652,-0.13352112676056338,-0.23407185000493727,-0.026039918637172685,0.6335211267605634,0.5
3,mean_of_rounds,no_baseline,15,151,77,128,0.45454545454545453,0.3984375,contribution_rate,delta_r2,elastic net,-0.07641311323628708,-0.21257961596424346,0.1393200955705063,0.01736877698896988,-0.0590443362473172,-0.09256727187808766,-0.17771566269391365,0.01595208133675728,0.07261249965350847,-0.019954772224579198,,,,,,,,,,
3,mean_of_rounds,no_baseline,15,151,77,128,0.45454545454545453,0.3984375,maxed_out,delta_auc,elastic net,,,,,,,,,,,-0.09693877551020413,-0.24664976242690062,0.048998274188822875,0.6142857142857143,0.5173469387755102,-0.031321619556913594,-0.13614401003482415,0.08148991076437842,0.6450216450216449,0.6137000254647313
3,mean_of_rounds,no_baseline,15,151,77,128,0.45454545454545453,0.3984375,contribution_rate,delta_r2,random forest,-0.05987595480303354,-0.11710709133014625,0.015090788477543858,0.03830283728463579,-0.021573117518397744,0.02856605361627107,-0.02509039602146913,0.07898021265303719,0.06948497886870852,0.0980510324849796,,,,,,,,,,
3,mean_of_rounds,no_baseline,15,151,77,128,0.45454545454545453,0.3984375,maxed_out,delta_auc,random forest,,,,,,,,,,,-0.07585034013605452,-0.22917031907433377,0.09311740890688258,0.5411564625850341,0.4653061224489796,-0.11140819964349369,-0.213219742063492,-0.009144029704905366,0.6114081996434937,0.5
3,mean_of_rounds,early_contribution,15,151,77,128,0.45454545454545453,0.3984375,contribution_rate,delta_r2,elastic net,-0.0646050479048389,-0.19011344874216754,0.12155087627312938,0.0055607116575217,-0.0590443362473172,-0.17482529196848062,-0.24467880809820067,-0.08693689923057314,0.15487051974390142,-0.019954772224579198,,,,,,,,,,
3,mean_of_rounds,early_contribution,15,151,77,128,0.45454545454545453,0.3984375,maxed_out,delta_auc,elastic net,,,,,,,,,,,-0.0574829931972789,-0.21187584345479082,0.10141175474254728,0.5795918367346938,0.5221088435374149,-0.04227145403615984,-0.16034662356321844,0.07156837628517312,0.6720142602495544,0.6297428062133945
3,mean_of_rounds,early_contribution,15,151,77,128,0.45454545454545453,0.3984375,contribution_rate,delta_r2,random forest,-0.05536009554757593,-0.11581007598453617,0.019625199931496997,0.043386281564269824,-0.011973813983306103,0.01942602225007395,-0.028995966611317807,0.06680032667451212,0.08785279454394779,0.10727881679402174,,,,,,,,,,
3,mean_of_rounds,early_contribution,15,151,77,128,0.45454545454545453,0.3984375,maxed_out,delta_auc,random forest,,,,,,,,,,,-0.10544217687074825,-0.2651144571295434,0.036887198874626353,0.5789115646258504,0.4734693877551021,-0.15788133435192253,-0.25151287538927974,-0.06123070913971651,0.6578813343519225,0.5
4,mean_of_rounds,no_baseline,15,151,80,136,0.4375,0.41911764705882354,contribution_rate,delta_r2,elastic net,-0.081091724077343,-0.1862036161954864,0.08687384766963828,0.040275812166216785,-0.04081591191112621,-0.032500541081771805,-0.12102805707776315,0.083886437718983,0.0705501297044524,0.0380495886226806,,,,,,,,,,
4,mean_of_rounds,no_baseline,15,151,80,136,0.4375,0.41911764705882354,maxed_out,delta_auc,elastic net,,,,,,,,,,,-0.027936507936507926,-0.170974977955741,0.11049907267203772,0.6066666666666667,0.5787301587301588,0.01176993115700653,-0.07201858205512622,0.09941109861943855,0.6309127248500999,0.6426826560071064
4,mean_of_rounds,no_baseline,15,151,80,136,0.4375,0.41911764705882354,contribution_rate,delta_r2,random forest,0.0017972785820615789,-0.06530468034646451,0.08558343222873498,0.04380354252928076,0.04560082111134234,0.005511178267674333,-0.05444202135292789,0.059157706818598506,0.07077937403823886,0.0762905523059132,,,,,,,,,,
