N,summary,baseline,outcome,coef_units,min_rounds,feature,family,n_games_learn,n_games_heldout,frac_at_ceiling_learn,coef_learn,p_learn,ci_low_learn,ci_high_learn,coef_val,p_val,ci_low_val,ci_high_val,q_learn,replicates
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,max_relative_lexical_wordcount,Lexical (LIWC),71,108,0.4647887323943662,0.047995489036968035,0.017895201153722,0.00826652235194271,0.08772445572199336,0.0443611409759012,0.009448874513425735,0.0108606418103925,0.0778616401414099,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,max_article_lexical_wordcount,Lexical (LIWC),71,108,0.4647887323943662,0.048070181085867025,0.021150856421709947,0.007200614658726644,0.0889397475130074,0.03674942319527906,0.017182089971830797,0.006521157641162876,0.06697768874939525,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,stdev_user_min_adverbs_lexical_wordcount,Lexical (LIWC),71,108,0.4647887323943662,0.042720814133338975,0.033302047038970016,0.0033812344543350803,0.08206039381234287,0.015801471843929216,0.339770071845764,-0.016641098791685106,0.04824404247954354,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,stdev_user_max_relative_lexical_wordcount,Lexical (LIWC),71,108,0.4647887323943662,0.039427415663944386,0.04379038114924098,0.0010976550364660762,0.0777571762914227,0.042300242233474096,0.007947043216831717,0.011065418440280299,0.0735350660266679,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,min_info_exchange_zscore_conversation,Semantic dynamics,71,108,0.4647887323943662,-0.043570110622240935,0.04680904263087494,-0.08652525115867196,-0.0006149700858099072,-0.0046735268182820505,0.7904299769819484,-0.03914150334701133,0.02979444971044723,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,max_user_min_positivity_zscore_conversation,Sentiment & emotion,71,108,0.4647887323943662,-0.05495764617227532,0.04776838302991936,-0.10937501852961018,-0.0005402738149404562,0.0033745919058670816,0.8437032407787463,-0.030172362732467473,0.036921546544201635,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,min_user_max_neutral_bert,Sentiment & emotion,71,108,0.4647887323943662,0.04551913950032725,0.06320782643177925,-0.0025050780383057136,0.09354335703896022,0.032701757270374276,0.07822794147084323,-0.003693482246112559,0.06909699678686111,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,min_user_max_textblob_polarity,Sentiment & emotion,71,108,0.4647887323943662,0.03566748959074581,0.08059202460742529,-0.004341978618295293,0.07567695779978692,0.004254912229587979,0.7936548070911194,-0.027627759578360597,0.03613758403753656,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,gini_coefficient_sum_num_chars,Participation & timing,71,108,0.4647887323943662,-0.03211760544391061,0.10579580970323886,-0.07103812199397638,0.006802911106155163,0.0033813096298958636,0.8669170509173314,-0.03616644794735698,0.04292906720714871,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,mean_user_mean_positivity_zscore_conversation,Sentiment & emotion,71,108,0.4647887323943662,-0.04639393252328843,0.10833348947991318,-0.10302269288893964,0.010234827842362779,0.03086300032344634,0.03490599901060631,0.0021870661282054026,0.059538934518687275,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,stdev_user_max_certainty_rocklage,Sentiment & emotion,71,108,0.4647887323943662,0.03932292159177712,0.12142180605553186,-0.010438089933920904,0.08908393311747514,0.029622360604795162,0.07135882210080355,-0.0025754945870109687,0.0618202157966013,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,mean_user_min_textblob_polarity,Sentiment & emotion,71,108,0.4647887323943662,0.03399326152550839,0.12363314120988943,-0.00927848310282875,0.07726500615384553,-0.016062897808921242,0.38469602615191023,-0.0522800377699281,0.020154242152085618,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,max_certainty_rocklage,Sentiment & emotion,71,108,0.4647887323943662,0.037081031503395284,0.12823572459100194,-0.010698649578231308,0.08486071258502187,0.028192587582360505,0.0882811997392718,-0.004224733968529952,0.06060990913325096,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,min_user_max_cognitive_mech_lexical_wordcount,Lexical (LIWC),71,108,0.4647887323943662,0.029445453514493798,0.13983288238232697,-0.00964388209681051,0.0685347891257981,0.025279800823747117,0.05006883387949579,-7.59328805201645e-06,0.05056719493554625,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,stdev_user_min_positivity_zscore_conversation,Sentiment & emotion,71,108,0.4647887323943662,-0.038726989702936025,0.1431027651521026,-0.09056182738439521,0.013107847978523157,-0.009580996182101245,0.620734371588741,-0.047531753576968296,0.028369761212765805,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,min_user_max_time_diff,Participation & timing,71,108,0.4647887323943662,-0.027420204842564917,0.15114930507690152,-0.0648588837378846,0.010018474052754772,-0.01273517329555987,0.42813155160475835,-0.044235300829422126,0.018764954238302385,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,min_textblob_polarity,Sentiment & emotion,71,108,0.4647887323943662,0.04242302391521908,0.15646704679238316,-0.016253342871032167,0.10109939070147032,-0.02279021915350131,0.19889691954073063,-0.05755941584078915,0.01197897753378653,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,max_user_min_article_lexical_wordcount,Lexical (LIWC),71,108,0.4647887323943662,0.03686930709574018,0.15723173231836154,-0.014219700862962342,0.0879583150544427,-0.0027607627865376405,0.836782717010329,-0.029026394329181925,0.023504868756106644,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,max_user_min_content_word_accommodation_per_conv,Semantic dynamics,71,108,0.4647887323943662,0.027772284952316813,0.17452622100973725,-0.012316505969638968,0.06786107587427259,-0.015970947537967496,0.2960008833288088,-0.04592410597039906,0.013982210894464067,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,stdev_user_max_positive_words_lexical_wordcount,Lexical (LIWC),71,108,0.4647887323943662,0.029435994290181806,0.17844789778683068,-0.013441280286062628,0.07231326886642624,0.016253056047615816,0.3246258155613526,-0.01608757274041271,0.048593684835644343,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,max_Impersonal_Pronoun_receptiveness_yeomans,Receptiveness,71,108,0.4647887323943662,-0.026111534680736317,0.18832234097608924,-0.06501339707749167,0.01279032771601903,0.028109094007638266,0.12522919801233312,-0.007824374027788225,0.06404256204306476,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,min_user_max_word_TTR,Volume & form,71,108,0.4647887323943662,0.032265214000287284,0.19228743223866107,-0.016236562728094192,0.08076699072866876,0.013484586364413579,0.2557140484255276,-0.009768780408223505,0.036737953137050666,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,max_info_exchange_zscore_conversation,Semantic dynamics,71,108,0.4647887323943662,0.04038451010356145,0.19823519349160834,-0.0211361187608681,0.101905138967991,0.01758590182214348,0.29005386183235027,-0.014992190107929543,0.0501639937522165,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,max_positive_words_lexical_wordcount,Lexical (LIWC),71,108,0.4647887323943662,0.02829225083696612,0.20067286280143537,-0.015041754527618308,0.07162625620155055,0.01526407490190436,0.35200838109481414,-0.016880561310772396,0.047408711114581115,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,min_user_max_num_chars,Volume & form,71,108,0.4647887323943662,0.025250581385547904,0.20265972946598942,-0.013595435882381598,0.0640965986534774,0.028140160334395786,0.088797268468649,-0.004269324649557281,0.06054964531834885,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,min_user_max_nltk_english_stopwords_lexical_wordcount,Lexical (LIWC),71,108,0.4647887323943662,0.024929578624751165,0.23193569940385694,-0.01594509977549387,0.0658042570249962,0.025689657201950503,0.10007535632105698,-0.0049282556840859505,0.05630757008798695,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,max_textblob_subjectivity,Sentiment & emotion,71,108,0.4647887323943662,-0.03138542234013918,0.23346237274518522,-0.08301358641303812,0.020242741732759764,0.023280999981341255,0.19159040103858915,-0.011660661261900858,0.05822266122458337,0.8599194179260863,False
1,cumulative,early_contribution,contribution_rate,contribution rate per SD,15,max_neutral_bert,Sentiment & emotion,71,108,0.4647887323943662,-0.03226548540683329,0.249657224818581,-0.08719960539359246,0.022668634579925878,0.04719747781172258,0.007225714252348358,0.012760973069577887,0.08163398255386728,0.8599194179260863,False
